,질문,답변
10,중도 비구어장애인을 위한 AAC 개발에 관한 논문을 찾아줘,"관련된 논문은 ""중도 비구어장애인을 위한 AAC 어휘 및 그림상징 개발: 인권, 피해, 지역사회 의사소통 상황을 중심으로""입니다. 저자는 채수정, 제연석이며, 2020년에 발행되었습니다. 이 논문에서는 발달장애인과 후천적 장애인으로 구분되는 의사소통 장애인 중, 특히 중도 비구어장애인의 의사소통 요구를 충족시키기 위해 AAC(보완대체의사소통) 시스템 내에 필요한 어휘 및 그림 상징의 개발에 집중합니다. Binger 등의 분류체계를 바탕으로, 인권, 피해, 지역사회 의사소통 상황을 중심으로 필요한 AAC 상징 개발을 목표로 하며, 이를 통해 중도 비구어장애인이 사회 내에서 더 효과적으로 의사소통 할 수 있는 방안을 모색합니다."
11,지체장애인의 자존감과 사회경제적 지위 연구에 관한 논문을 찾아줘,"관련된 논문은 ""지체장애인의 자존감과 사회경제적 지위 간의 교차지연 관계""라는 제목으로, 저자 최희철에 의해 2020년에 발행되었습니다. 이 논문은 자기회귀 교차지연 효과 모형을 통해 지체장애인의 자존감과 그들의 사회경제적 지위 사이의 상호작용을 탐구하였습니다. 연구에서는 사회적 지표 모델과 자존감 이득 가설을 설정하고 검증하였으며, 이를 기반으로 지체장애인의 자존감과 사회경제적 지위 간의 복잡한 관계에 대한 깊은 이해를 제공합니다."
12,건강장애학생을 위한 병원학교 연구동향에 대한 논문을 찾아줘.,"관련된 논문은 ""건강장애학생을 위한 병원학교 관련 연구 동향 분석""입니다. 이 논문은 김혜리가 2020년에 발행했으며, 주로 건강장애학생을 위한 병원학교 관련 연구의 일반적인 동향을 파악하기 위해 다양한 변인을 선정하고 분석한 결과를 담고 있습니다. 김혜리는 이 연구에서 5가지 변인을 기준으로 연구 편수를 산출하며, 이러한 분석 변인들은 선행 연구를 바탕으로 하여 이번 연구의 목적에 맞게 수정 및 보완되었습니다. 본 논문은 건강장애학생 교육에 대한 현재의 연구 동향을 이해하는 데 기여합니다."
13,예비유아교사의 특수교육 역량에 관한 논문을 찾아줘.,"관련된 논문은 ""예비유아교사의 특수교육 역량척도 개발 연구""입니다. 이 논문은 최지혜가 2020년에 발표하였으며, 예비유아교사가 갖추어야 할 핵심역량을 제시하고자 합니다. 교육과학기술부는 바른 인성과 전문성을 기르기 위한 예비유아교사의 역량을 계획하고 있으며, 미국과 뉴질랜드는 각각 자격있는 유아교사 양성을 위한 표준과 유아교사 역량의 3요인을 제시하고 있습니다. 이 논문은 또한 다양한 선행 연구를 바탕으로 일반적 예비교사 역량 분석을 다루면서, 특수교육 분야에서 예비유아교사가 갖추어야 할 핵심역량의 중요성을 강조합니다."
14,통합 환경에서의 특수교사와 작업치료사 협력에 관한 논문을 찾아줘,        
15,노년기 사회연계망 구축에 대한 논문을 찾아줘,"관련된 논문은 ""노년기 안정적인 사회연계망 구축을 위한 방안연구 : 일본사례를 중심으로""입니다. 이 논문의 저자는 정근하이며, 2020년에 발행되었습니다. 내용을 살펴보면, 논문은 한국과 일본에서의 노년기 사회연계망 구축 방안에 대해 다루고 있습니다. 특히 한국 초·중등학교의 체육 및 여가교육의 현실을 비판적으로 분석하고, WHO의 조사 결과를 인용해 한국이 세계에서 가장 운동량이 부족한 나라 중 하나라는 점을 지적합니다. 또한, 한국 사회에서 학력이 갖는 중요성으로 인해, 학부모와 아이들이 체육이나 여가 활동에 대해 부정적이거나 무관심한 태도를 보이는 문제점을 짚어내고 있습니다. 이를 통해 노년기에 안정적인 사회연계망을 구축하기 위한 방안을 제시하면서 일본 사례를 중심으로 해결책을 탐색하는 접근 방식을 취하고 있습니다."
16,지역재생정책 연구에 관한 논문을 찾아줘,"관련된 논문은 ""코퍼스 분석을 활용한 지역재생정책 연구 - 감천문화마을 관광활성화를 위한 정책제언 -""입니다. 저자 이태헌은 2020년에 이 논문을 발행했습니다. 내용은 감천문화마을 재생사례와 같은 지역사회공동체 역량 강화를 전제로 하며, 도시재생정책이 거버넌스 개념을 중심으로 어떻게 전개되는지 다룹니다. 특히, 시민사회와의 협력 과정에서 발생하는 공적 의사결정의 어려움을 코퍼스 언어학을 통한 내용분석으로 해결하려는 시도에 초점을 맞춥니다. 이는 도시재생을 추진함에 있어 효율적인 의사소통 및 협치 구축 방안을 모색하는 현실적인 대안을 제시합니다."
17,인삼농가의 재배방식 결정요인에 대한 논문을 찾아줘,"관련된 논문은 ""인삼농가의 재배방식 선택 결정요인 분석""입니다. 이 논문은 윤성환 저자에 의해 2020년에 발행되었으며, 인삼산업의 경쟁력 확보와 생산기반 유지에 필수적인 농가의 소득률 향상과 지속적인 신규농가 확보의 중요성을 다룹니다. 논문에서는 인삼재배가 초기 자본과 기술력이 없으면 진입이 어려운 특성을 갖고 있음을 지적하며, 특히 직파재배 방식이 신규재배 농가나 규모가 작은 농가에 적합한 재배방식임을 강조합니다. 이는 인삼농가의 재배방식 선택에 영향을 미치는 다양한 요인들을 분석하여, 인삼 산업 내에서의 전략적 결정을 뒷받침하기 위한 연구입니다."
18,공동자원을 이용한 농촌 마을만들기에 관한 논문을 찾아줘,"관련된 논문은 ""공동자원을 활용한 농촌 마을만들기 - 제주 하례1리의 효돈천 생태관광 -""입니다. 저자는 김자경이며, 2020년에 발행되었습니다. 이 논문에서는 공동자원을 활용하여 농촌 마을을 만드는 과정에서 마주할 수 있는 장애물과 그 해결 방안을 탐구합니다. 특히 제주 하례1리 마을을 사례로 들어, 마을 공동시설의 확대와 소득증대가 농촌 마을 만들기에 미치는 영향을 분석하였습니다. 또한, 일본과 한국의 성공적인 사례를 비교하며, 이를 통해 공동자원의 관계 맺기와 활용이 마을 발전에 필수적임을 강조하고 있습니다."
19,도농상생을 위한 축소지향 도시관리 정책에 관한 논문을 찾아줄 수 있나요?,"관련된 논문은 ""도농상생을 위한 축소지향 도시관리 정책에 관한 연구""입니다. 이 논문은 손창희와 제장한에 의해 2020년에 발행되었습니다. 내용을 살펴보면, 일본에서 도농상생의 논의는 주로 농촌정책에서 시작되며, 일본의 주요 농촌정책 동향은 한국과 유사한 문제 상황을 직면하고 있음을 보여줍니다. 특히, 일본은 농촌의 활로를 도시와의 교류에서 찾으려는 시도를 일찍부터 했으며, 최근에 발표된 농촌 정책들은 도농 교류 또는 공생을 핵심 방향으로 설정하고 있습니다. 이 논문은 도시와 농촌 간 교류 및 상생관계 구축을 위한 축소지향 도시관리 정책의 필요성과 실현 방안에 대해 탐구하고 있습니다."
20,다문화청소년의 주관적 행복에 관한 논문을 찾아줘,"관련된 논문은 ""다문화청소년의 차별경험이 주관적 행복에 미치는 영향과 상호문화역량의 조절효과""입니다. 저자인 고지원과 제노지는 2020년에 이 연구를 발표했습니다. 이 논문에서는 다문화청소년에 대한 상호문화역량 분석이 그간 충분히 이루어지지 않았다는 점을 지적하며, 다문화청소년이 경험한 차별이 그들의 주관적 행복에 어떠한 영향을 주는지 탐색합니다. 또한, 이러한 관계에서 상호문화역량이 어떤 조절 효과를 가지는지에 대해 심도 깊게 분석하여, 다문화청소년들의 상호문화역량 강화가 주관적 행복 증진에 기여할 수 있는 방안을 모색하는데 중점을 두었습니다."
21,청소년의 지위비행 유형과 영향 요인에 대한 논문을 찾아줘,"관련된 논문은 ""청소년의 지위비행 유형에 따른 영향 요인 연구""입니다. 이 논문의 저자는 구주영, 제신은이고 2020년에 발행되었습니다. 내용으로는 청소년의 지위비행의 시작과 지속, 그에 영향을 주는 요인을 다루고 있습니다. 기존의 연구는 청소년기 전체에 걸친 종단적 분석의 적용에 한계가 있음을 지적하며, 청소년 비행에 영향을 미치는 요인을 종단적 자료를 통해 더 구체적으로 비교·분석하면서 이러한 비행의 이해를 더욱 심화시키는 것을 목표로 하고 있습니다."
22,청소년의 자기효능감과 진로미결정에 관한 논문을 찾아주세요.,"관련된 논문은 ""청소년의 자기효능감, 진로탐색 행동, 진로미결정 간 자기회귀 교차지연 효과 검증""입니다. 이 논문은 김민선에 의해 2020년에 발행되었습니다. 주요 내용은 자기효능감이 청소년의 진로결정 과정에서 중요한 역할을 할 수 있다는 점과 이러한 개념들이 한국 청소년을 대상으로 한 연구에서도 유효한지를 탐색하는 것입니다. 연구는 자기효능감과 진로탐색 행동이 진로미결정에 미치는 영향을 다루며, 이는 청소년의 진로 결정 과정을 이해하기 위한 중요한 연구로 평가됩니다. 연구 결과는 청소년의 진로 결정 과정에 있어서 자기효능감이 중요한 변수로 작용함을 보여주며, 이를 통해 효율적인 진로 교육 및 상담에 대한 시사점을 제공합니다."
23,청소년의 관계적 특성과 주관적 안녕감에 관한 논문을 찾아줘,"관련된 논문은 ""청소년의 관계적 특성과 청소년활동 참여가 주관적 안녕감에 미치는 영향: 자아탄력성의 매개효과를 중심으로""입니다. 저자는 김태형이며, 2020년에 발행되었습니다. 본 연구는 청소년의 관계적 특성 및 활동 참여가 자아탄력성을 통해 주관적 안녕감에 어떤 영향을 미치는지 분석했습니다. 자아탄력성이 주관적 안녕감을 높이는 중요한 매개 변인으로 작용, 청소년기의 삶의 질과 긍정적인 삶의 태도에 영향을 주는 것으로 나타났습니다. 이 연구는 청소년의 안녕감 증진을 위한 프로그램 개발이나 정책 수립에 있어 중요한 시사점을 제공합니다."
24,다문화 청소년의 집단 괴롭힘 경험과 삶의 만족도에 관한 논문을 찾아줘,"관련된 논문은 ""다문화 청소년의 집단 괴롭힘 피해 경험과 삶의 만족도의 관계: 교우관계와 사회적 위축의 이중매개효과""입니다. 이 논문은 이래혁에 의해 2020년에 발행되었으며, 집단 괴롭힘 피해 경험이 다문화 청소년의 삶의 만족도에 미치는 영향을 분석하고 있습니다. 특히, 다문화 청소년들이 겪는 집단 괴롭힘 피해 문제와 그로 인한 삶의 만족도 사이의 관계를 규명하고자 하였으며, 교우관계와 사회적 위축의 이중매개효과를 통해 보호 요인을 확인하고 이를 강화시키는 전략을 제안합니다. 이러한 전략은 성인기까지 이어지는 부정적인 연결 고리를 끊어낼 수 있음을 시사하며, 다문화 청소년이 겪는 집단 괴롭힘 문제에 대하여 추가적인 연구와 관심을 촉구합니다."
25,아동·청소년 대상 성범죄 그루밍 판례를 분석한 논문을 찾아줘,"관련된 논문은 ""아동·청소년 대상 성범죄 그루밍(Grooming, 길들이기) 판례분석""입니다. 저자는 한숙희, 제정희, 교신이며, 2020년에 발행되었습니다. 이 논문에서는 성인 가해자가 피해 아동 혹은 청소년과 아는 사이일 때 발생하는 성범죄의 특성에 대해 조명합니다. 연구 결과, 대부분의 가해자가 성인 남성이고, 이러한 범죄가 반복되며, 물리적인 위력을 사용하지 않고도 범죄가 이루어진다는 몇 가지 공통적인 특징을 발견하였습니다. 이 논문은 이러한 범죄 행위의 다양한 측면을 자세히 분석하여, 아동 및 청소년을 대상으로 한 성범죄 근절을 위한 정책 및 법적 대응 방안 모색에 중요한 기여를 합니다."
26,거시경제 분석을 위한 텍스트 마이닝에 대한 논문을 찾아줄 수 있나요?,"관련된 논문은 ""거시경제 분석을 위한 텍스트 마이닝""으로, 저자는 김수현이며, 2020년에 발행되었습니다. 이 논문에서는 텍스트 마이닝의 다양한 활용 가능성을 탐구하면서도, 텍스트 데이터와 전통적 구조화 데이터 간의 대체관계에 대한 몇 가지 제약 사항을 지적합니다. 텍스트 데이터는 서베이 자료에 비해 비용 효율성 면에서 우수한 정보 원천이 될 수 있으나, 전통적인 구조화 데이터를 완전히 대체할 수는 없다는 점에 주목합니다. 이러한 관점을 통해 논문은 텍스트 마이닝 분야의 연구자들과 정책 결정자들이 데이터 분석 방법을 선택할 때 참고할 수 있는 중요한 지침을 제공합니다."
27,최저임금 인상의 고용규모 영향에 대한 논문을 찾아줘,"관련된 논문은 ""최저임금 인상이 고용규모에 미치는 영향: 집군추정법(Bunching Estimator)을 활용한 분석""입니다. 저자는 강창희이며, 2020년에 발행되었습니다. 이 논문에서는 최저임금 인상이 고용에 미치는 영향을 분석하는 데 집중하며, 특히 근로자 집단 및 사업체의 특성에 따라 이 영향이 어떻게 달라지는지를 조사합니다. 연구 결과, 최저임금의 영향이 적은 집단에서는 최저임금 인상의 부정적인 고용 효과가 상대적으로 작게 나타났으나, 영향이 큰 집단에서는 이러한 부정적인 고용 효과가 훨씬 더 크게 나타나는 것으로 확인되었습니다. 이는 최저임금 인상의 고용에 대한 영향이 집단의 특성에 따라 상이하게 나타날 수 있음을 시사합니다."
28,한국의 최저임금과 고용에 대한 논문을 찾아줘,"관련된 논문은 ""한국의 최저임금과 고용, 2013-2019""입니다. 저자는 김낙년이며, 2020년에 발행되었습니다. 이 논문은 최저임금제의 이중적 성격에 대해 탐구합니다. 최저임금제는 정부가 임금 결정 과정에 개입하여 저임금 근로자를 보호하려는 제도이지만, 반대로 중소기업이나 자영업자에게는 높은 노동비용 부담으로 작용하며, 종종 고용 감소의 부작용을 초래할 가능성도 지닙니다. 이 논문은 2013년부터 2019년까지 한국에서 최저임금이 고용에 미친 영향을 면밀히 분석하고, 최저임금 정책이 노동 시장에 미치는 복잡한 효과를 설명합니다."
29,소득세 공제방식 변경과 교육투자수익률 영향에 대한 논문을 찾아줘,"관련된 논문은 ""소득세 공제방식변경이 교육투자수익률에 미치는 영향 : 소득재분배에 대한 함의""입니다. 저자는 신우리이며, 발행연도는 2020년입니다. 이 논문에서는 2014년에 적용된 개정 세법의 특별 공제항목 공제 방식 변경이 교육 투자수익률에 어떤 영향을 미쳤는지를 분석합니다. 특히, 근로자의 소득세 제도 변화에 대한 대응으로 나타난 노동시간 조정과 이를 통해 발생하는 소득의 변화 및 세후 총소득에 미치는 영향을 통해, 근로자의 행태 변화가 예상되는 재분배 효과에 어떤 시사점을 줄 수 있는지에 대해 깊이 있게 탐구하였습니다. 이 연구는 소득세 제도 변화가 교육 투자에 미치는 영향과 함께, 소득 재분배와 관련된 폭넓은 논의를 제공해줍니다."
30,인구분류 기준의 재구성에 관한 논문을 찾아줘.,"관련된 논문은 ""인구분류 기준의 재구성을 위한 소고""입니다. 저자 김우석이 2020년에 작성한 이 논문은, 보편적으로 사용되는 인구 분류 기준이 우리나라의 사회적, 경제적, 교육적 환경에 부합하지 않는 문제점을 지적합니다. 특히 유소년, 생산 가능 인구, 그리고 노인 인구로의 단순 분류가 국내의 다양한 사회 경제적 이슈를 파악하고 이에 대응하는 데에 여러 한계가 있음을 밝힙니다. 김우석은 특히 우리나라 인구 구조의 변화, 영유아 인구의 감소와 그 중에서도 영아 인구에서 더 큰 폭의 감소 현상을 분석하며, 이를 통해 인구분류 기준의 재구성이 국내 경제, 사회, 교육상의 영향을 더 적절하게 파악하는 데 중요함을 강조합니다."
31,2018 서울시 지역균형발전 공론화 사례에 관한 논문을 찾아줘,"관련된 논문은 ""정책결정과정으로서의 공론화 단계분석: ‘2018 서울시 지역균형발전 공론화 사례’""입니다. 이 논문의 저자는 하동현이며, 2020년에 발행되었습니다. 본 논문에서는 공론화가 정책 결정 과정에서 어떻게 중요한 역할을 수행하는지 연구하고 있습니다. 특히, 공론화가 단순한 이벤트성 활동을 넘어서 정책 결정과 깊이 연결되어 지속 가능한 의미를 갖도록 구축되어야 한다고 주장합니다. 이를 통해 공론화가 정책 결정 과정에서 가치를 발휘하고, 상설된 숙의 과정을 통해 의미 있는 결과를 도출할 수 있음을 2018 서울시 지역균형발전을 공론화 사례를 통해 분석하고 있습니다."
32,외국인 근로자 고용정책 변동과 사회통합정책 포용 가능성에 관한 논문을 찾아줘.,"관련된 논문은 ""외국인근로자 고용정책변동에 따른 사회통합정책대상으로의 포용 가능성 탐색: 단기순환원칙의 고용정책을 중심으로""입니다. 이 논문은 정명주에 의해 2020년에 발행되었습니다. 내용은 결혼이민자와 달리, 외국인 근로자들이 처음에는 고용허가제 도입을 통해 고용 및 체류관리의 통제 대상으로만 여겨졌으나, 시간이 지나면서 고용정책의 변동을 통해 외국인 근로자의 체류 규모 확대 및 체류 양태에 뚜렷한 변화가 생겼음을 분석합니다. 이러한 분석을 통해, 단기순환의 원칙에 반하는 결과가 나타나며, 이는 외국인 근로자를 사회통합정책의 대상으로 포용하는 가능성을 탐색하는 중요한 근거를 제공하고 있습니다."
33,공공갈등 해소를 위한 제도화 과정에 대한 논문을 찾아줘,"관련된 논문은 ""공공갈등 해소를 위한 제도화 과정 분석: 과천화훼단지 개발사례를 중심으로""입니다. 이 논문의 저자는 김경아, 제문태, 교신이며, 2020년에 발행되었습니다. 내용은 우리나라가 빠른 도시화, 민주화, 산업화, 세계화를 겪으면서 발생한 정책이나 사회문제에 대한 사회갈등이 급속히 증가하고 있으며, 이로 인한 경제적, 사회적 비용 역시 크게 증가하고 있다고 지적합니다. 논문에서는 공공갈등을 다루기 어려운 주요 원인으로 다양한 이해관계자의 관여를 꼽으며, 과천화훼단지 개발사례를 중심으로 공공갈등 해소를 위한 제도화 과정을 분석하고 있습니다. 이 연구는 공공갈등의 복잡성을 이해하고, 해결책 마련에 있어서의 어려움을 파악하기 위한 중요한 자료가 됩니다."
34,특수임무유공자 정책의 정책형성과정에 대한 논문을 찾아줘.,"관련된 논문은 ""특수임무유공자 정책의 정책형성과정 연구: 정책네트워크 연결망 분석을 중심으로""입니다. 저자는 장다흰, 제박용이고, 2020년에 발행되었습니다. 이 논문에서는 국가보훈처의 특수임무 유공자 정책형성 과정을 다루고 있으며, 특히 국가보훈처가 주도적 역할을 수행하지 못하였으며 사회적 분위기에 의해 정책이 형성되었다는 점을 지적합니다. 연결망 분석을 통해 이 과정을 세밀하게 분석함으로써, 정책형성 과정에서의 다양한 이해관계자 간의 관계와 그들의 영향력에 관한 중요한 통찰을 제공합니다. 논문은 특수임무 유공자 정책이 개별법으로 제정되는 과정에서 발생하는 문제점들을 지적하며, 이것이 보훈정책 전반에 적용하는 데 있어서의 한계를 논의합니다."
35,노인의 삶의 질 결정요인: 중-한 비교 연구 논문을 찾아줘,"관련된 논문은 ""노인의 삶의 질 결정요인에 관한 중·한 비교 연구""입니다. 이 논문의 저자는 짱샨샨과 제권오이며, 2020년에 발행되었습니다. 고령화 문제가 심각한 중국과 한국을 대상으로, 노인의 삶의 질에 영향을 미치는 다양한 요인들을 탐색하고, 이러한 요인들이 어떻게 노인의 삶의 질을 결정하는지 분석하였습니다. 논문은 회귀분석을 통해 우울감, 경제적 만족감, 사회적 지지, 여가 만족 등이 중국과 한국 노인들의 삶의 질에 긍정적인 영향을 미치는 주요 요인임을 밝혔습니다. 이러한 발견을 바탕으로 양국 노인들의 삶의 질 향상과 행복 증진을 위한 사회복지적 전략과 제언을 제공하였습니다."
36,공공기관 채용비리 억제 요인에 대한 논문을 찾아줘.,"관련된 논문은 ""공공기관의 채용비리 연루 억제 요인에 관한 연구: 내부통제와 투명성 강화를 중심으로""입니다. 저자는 손성민이며, 2020년에 발행되었습니다. 이 논문에서는 공공기관의 채용 비리 문제가 국민적 불신과 취업준비생들의 박탈감을 심화시키고, 정부가 이에 대응하여 채용 비리 근절을 위한 정책을 시행함에 따라 그 실효성을 분석하고 있습니다. 구체적으로는 정부가 시행한 여러 정책들이 공공기관 채용과정의 투명성을 어떻게 향상시키고, 내부통제 메커니즘을 강화함으로써 채용 비리를 억제하는 데 얼마나 기여하고 있는지에 대해 심층적으로 탐구하고 있습니다."
37,성과관리와 참여적 의사결정의 영향에 대한 논문을 찾아줘,"관련된 논문은 ""성과관리와 참여적 의사결정이 조직구성원의 성과와 조직몰입에 미치는 영향: 조직내부 신뢰유형의 조절효과를 중심으로""입니다. 저자는 구주영이며, 2020년에 발행되었습니다. 이 논문은 성과관리와 참여적 의사결정이라는 전략이 조직 구성원의 성과 향상 및 조직몰입 유인에 어떠한 역할을 하는지 탐구합니다. 특히, 성과 창출과 조직 몰입의 향상에 대한 이러한 전략의 효과가 조직내부 신뢰유형에 의해 어떻게 조절되는지를 중점적으로 분석하고 있습니다. 이 연구는 공공 관리자들이 조직 구성원들의 성과를 향상시키기 위해 성과 관리와 참여적 의사결정 전략을 어떻게 효과적으로 활용할 수 있는지에 대한 시사점을 제공합니다."
